oznam_title,contracting_authority_name,oznam_e_auction,estimatedprice,procedure_title,contract_type,contract_sub_type,nuts,gpa,result_e_auction,eu_funds,total_final_value_amount,total_final_value_vat_included,total_final_value_vat_rate,total_final_value_amount_minus_vat
"Antineoplastické činidlá pre nemocničnú lekáreň ŠN sv. Svorada Zobor, n.o.","Špecializovaná nemocnica sv.Svorada Zobor, n.o.",,599800,Otvorená,Tovary,Kúpa,SK023,false,true,false,569378.31,false,,569378.31
Nové pneumatiky,"Dopravný podnik mesta Košice, akciová spoločnosť",,332100,Otvorená,Tovary,Kúpa,SK04,false,true,false,332850,false,,332850
Zabezpečovanie stravovacích služieb pre zamestnancov VšZP formou stravných poukážok,"Všeobecná zdravotná poisťovňa, a.s.",,7980000,Otvorená,Služby,17,SK0,true,true,false,7980000,false,,7980000
Rast konkurencieschopnosti spoločnosti Bíliková s.r.o. pri výrobe piva,Bíliková s.r.o.,,221900,Otvorená,Tovary,Kúpa,SK021,false,true,true,266180,true,20,212944
Systematická obnova audiovizuálneho dedičstva a jeho sprístupňovanie v Slovenskom filmovom ústave (EVO),Slovenský filmový ústav,,4700000,Otvorená,Služby,26,SK010,true,false,false,,false,,
Obstaranie služieb výskumu a vývoja pre projekt Kompetenčné centrum,"IMUNA PHARM, a.s.",,320000,Otvorená,Služby,8,SK041,true,true,true,320000,false,,320000
Špeciálne chemické látky a zmesi pre experimentálne účely,Ústav experimentálnej endokrinológie Slovenskej akadémie vied,,1000000,Otvorená,Tovary,Kúpa,SK01,false,true,false,,false,,
Spotrebný kancelársky materiál,Výskumný ústav detskej psychológie a patopsychológie,,227220,Otvorená,Tovary,Kúpa,SK,true,true,true,178700,false,,178700
Spotrebný kancelársky materiál,Výskumný ústav detskej psychológie a patopsychológie,,227220,Otvorená,Tovary,Kúpa,SK01,true,true,true,60322.87,true,20,48258.296
"Technicko-organizačné zabezpečenie odborných seminárov, konferencií, exkurzií a dní otvorených dverí",Štátny inštitút odborného vzdelávania,,1746415,Otvorená,Služby,24 - Vzdelávacie služby a služby odbornej prípravy,SK0,true,true,true,867335.279,true,20,693868.2232
Podporné služby pre vedeckú komunitu v prostredí IKT infraštruktúry formou outsourcingu v rámci Integrovaného systému služieb,Centrum vedecko-technických informácií SR,,212500,Otvorená,Služby,7,SK010,true,false,true,186312,true,20,149049.6
Kationaktívna asfaltová emulzia,Správa ciest Žilinského samosprávneho kraja,,454050,Otvorená,Tovary,Kúpa,SK031,true,true,false,532374,true,20,425899.2
Tonery a atramentové náplne,Univerzitná nemocnica Bratislava,,270000,Otvorená,Tovary,Kúpa,SK010,true,true,false,270000,false,,270000
Mlieko a mliečne výrobky,Fakultná nemocnica s poliklinikou J. A. Reimana v Prešove,,274168.06,Otvorená,Tovary,Kúpa,SK041,true,false,false,8995.37,true,20,7196.296000000001
Mlieko a mliečne výrobky,Fakultná nemocnica s poliklinikou J. A. Reimana v Prešove,,274168.06,Otvorená,Tovary,Kúpa,SK041,true,true,false,276938.69,true,20,221550.95200000002
Komplexné zabezpečenie výprav SZKNDV,Slovenský zväz kanoistiky na divokej vode,,1200000,Otvorená,Služby,3,SK0,true,false,false,1560000,false,,1560000
Dodávka zvozovej súpravy na drevo s príslušenstvom a zaškolením obsluhy.,"Cenzuálne spolumajiteľstvo Rajec, pozemkové spoločenstvo",,203000,Otvorená,Tovary,Kúpa,SK031,true,true,false,199600,false,,199600
Zdravotnícke prístroje 2015,Detská fakultná nemocnica s poliklinikou Bratislava,,568138,Otvorená,Tovary,Kúpa,SK01,true,true,false,564610,false,,564610
Dodávka drviaceho zariadenia na drvenie zeolitu.,"ZEOCEM, a.s.",,265000,Otvorená,Tovary,Kúpa,SK041,true,false,true,254970,false,,254970
Obnova lesných porastov Lesného spoločenstva Kysučné,"Lesné spoločenstvo Kysučné, s.r.o.",,208350.2,Otvorená,Služby,27 - Ostatné služby,SK031,false,false,true,206725.96,false,,206725.96
Obaľovaná asfaltová zmes za tepla – asfaltový betón,Správa ciest Košického samosprávneho kraja,,1724250,Otvorená,Tovary,Kúpa,SK04,true,true,false,2224827.72,true,20,1779862.1760000002
